Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
1995,Indonesia,10441980.0,1768047.0,0.1693210483069303,196934260,6.562205949
1996,Indonesia,10441980.0,1825001.0,0.17477537784979474,199901228,6.21793122
1997,Indonesia,10441980.0,3714569.0,0.3557341615287522,202826446,3.189868812
1998,Indonesia,10441980.0,3506335.0,0.33579215819222025,205724592,-14.35055309
1999,Indonesia,10441980.0,3594975.0,0.34428096970114863,208615169,-0.605438282
2000,Indonesia,10441980.0,3898591.0,0.3733574475338968,211513823,3.482209125
2001,Indonesia,10441980.0,4111172.0,0.3937157512272577,214427417,2.235181135
2002,Indonesia,10441980.0,4230722.0,0.4051647292946357,217357793,3.090633543
2003,Indonesia,10441980.0,3406663.0,0.3262468420740128,220309469,3.3765361310000004
2004,Indonesia,10441980.0,3785760.0,0.362551929806416,223285676,3.6309022680000003
2005,Indonesia,10441980.0,3342750.0,0.3201260680445663,226289470,4.289595233
2006,Indonesia,10441980.0,3894077.0,0.3729251540416664,229318262,4.107515275
2007,Indonesia,10441980.0,3725674.0,0.3567976571493146,232374245,4.946465429
2008,Indonesia,10441980.0,2067898.0,0.1980369623385603,235469762,4.620033267
2009,Indonesia,10441980.0,2057209.0,0.1970133059055849,238620563,3.247327414
2010,Indonesia,10441980.0,3004668.0,0.2877488752133216,241834215,4.812281788
